Time,min,max,mean
2011-06-22,54.5,71.6,60.50694444444446
2011-06-23,54.5,68.0,59.844680851063835
2011-06-24,53.6,69.6,59.58749999999995
2011-06-25,54.3,65.7,58.402797202797245
2011-06-26,54.5,73.8,61.393055555555556
2011-06-27,53.6,65.3,57.468750000000014
2011-06-28,55.0,60.3,57.822916666666615
2011-06-29,55.4,67.6,60.42033898305085
2011-06-30,55.8,77.0,65.3107438016529
2011-07-01,57.2,82.6,68.7685950413223
2011-07-02,56.3,76.1,64.04305555555555
2011-07-03,57.7,89.2,70.71249999999996
2011-07-04,57.6,77.4,65.30277777777779
2011-07-05,54.3,76.5,63.237062937062944
2011-07-06,54.0,74.1,61.24895104895105
2011-07-07,54.7,72.5,61.156643356643364
2011-07-08,54.9,74.8,61.92657342657341
2011-07-09,54.7,56.5,55.33461538461539
2011-07-10,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-11,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-12,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-13,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-14,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-15,57.4,59.7,57.92580645161289
2011-07-16,57.4,69.8,62.44102564102561
2011-07-17,58.1,70.7,63.307377049180324
2011-07-18,57.9,74.7,64.52937062937066
2011-07-19,58.5,74.7,63.82638888888888
2011-07-20,58.3,82.4,66.85069444444444
2011-07-21,56.8,69.3,59.75846153846155
2011-07-22,46.09114244396237,63.81500361532906,54.293559388559714
2011-07-23,60.1,71.1,65.17500000000003
2011-07-24,58.1,70.9,62.94166666666667
2011-07-25,56.7,69.6,61.25384615384616
2011-07-26,56.1,69.8,58.675000000000004
2011-07-27,57.2,62.1,58.63870967741935
2011-07-28,55.9,72.3,61.04236111111109
2011-07-29,57.2,60.4,57.879999999999995
2011-07-30,59.7,70.9,64.94886363636364
2011-07-31,58.1,69.6,61.42708333333331
2011-08-01,57.9,70.7,62.58114754098359
2011-08-02,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-03,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-04,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-05,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-06,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-07,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-08,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-09,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-10,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-11,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-12,46.09114244396237,63.81500361532906,54.293559388559714
2011-08-13,55.8,72.7,62.1404761904762
2011-08-14,56.5,70.2,61.23566433566434
2011-08-15,56.3,70.7,62.06901408450704
2011-08-16,56.5,71.2,60.9854166666667
2011-08-17,56.3,68.2,59.984507042253504
2011-08-18,56.1,68.7,59.6590277777778
2011-08-19,55.8,63.3,57.878472222222236
2011-08-20,56.8,71.4,61.52916666666671
2011-08-21,57.0,66.9,60.40428571428572
2011-08-22,57.9,69.8,61.17638888888892
2011-08-23,56.3,81.5,66.17430555555558
2011-08-24,57.0,72.0,62.507638888888906
2011-08-25,58.8,70.0,62.088888888888896
2011-08-26,56.8,72.9,61.29999999999995
2011-08-27,54.9,72.7,60.02727272727271
2011-08-28,55.8,71.2,59.97569444444444
2011-08-29,57.4,68.4,61.12777777777775
2011-08-30,56.5,68.7,59.500694444444434
2011-08-31,55.6,70.7,60.76527777777778
2011-09-01,55.8,72.3,61.30279720279724
2011-09-02,55.9,73.9,61.56013986013986
2011-09-03,55.8,67.6,59.36805555555556
2011-09-04,56.3,66.2,59.00069444444445
2011-09-05,55.9,66.6,59.38543689320388
2011-09-06,46.09114244396237,63.81500361532906,54.293559388559714
2011-09-07,55.9,57.6,56.88823529411765
2011-09-08,54.1,66.0,58.27916666666667
2011-09-09,56.1,72.0,60.693749999999945
2011-09-10,56.7,69.4,61.15109489051091
2011-09-11,60.1,73.4,64.7153846153846
2011-09-12,60.6,71.2,64.2701388888889
2011-09-13,58.8,70.7,62.71470588235291
2011-09-14,57.2,62.4,59.04295774647889
2011-09-15,57.4,64.2,59.803472222222176
2011-09-16,57.0,64.9,59.86319444444445
2011-09-17,55.0,71.1,61.39930069930072
2011-09-18,57.0,80.6,67.9741071428571
2011-09-19,58.1,86.7,68.45874125874127
2011-09-20,59.0,87.1,68.15972222222223
2011-09-21,56.3,74.7,62.48680555555555
2011-09-22,55.9,76.5,62.02307692307692
2011-09-23,55.9,75.0,62.92847222222224
2011-09-24,57.2,66.4,60.95347222222223
2011-09-25,57.2,69.6,63.160839160839174
2011-09-26,55.0,75.0,62.4006944444444
2011-09-27,57.7,78.8,66.0277372262774
2011-09-28,62.4,86.5,71.72097902097902
2011-09-29,57.4,69.8,63.870229007633576
2011-09-30,60.8,70.7,64.88749999999999
2011-10-01,61.3,73.4,65.80486111111117
2011-10-02,59.7,70.7,63.4154929577465
2011-10-03,58.6,66.4,61.37375886524824
2011-10-04,58.1,66.7,60.94825174825173
2011-10-05,55.8,65.1,59.16805555555556
2011-10-06,54.1,63.5,58.09930069930069
2011-10-07,53.2,67.6,59.335433070866124
2011-10-08,57.7,67.3,62.00714285714283
2011-10-09,57.0,71.4,61.186111111111096
2011-10-10,60.4,66.2,62.47812500000001
2011-10-11,61.2,71.4,65.26119402985073
2011-10-12,59.2,75.9,66.02097902097903
2011-10-13,61.3,79.3,69.44453125
2011-10-14,63.1,81.3,70.5244755244755
2011-10-15,60.3,69.8,64.91118881118877
2011-10-16,61.3,70.7,65.23680555555558
2011-10-17,60.3,67.8,63.378378378378365
2011-10-18,57.9,65.5,61.64142857142857
2011-10-19,58.6,64.6,61.00972222222221
2011-10-20,57.9,63.7,59.624475524475535
2011-10-21,54.1,70.9,61.089583333333344
2011-10-22,57.7,76.8,65.62394366197184
2011-10-23,60.1,77.2,66.45517241379311
2011-10-24,56.3,66.4,61.06944444444444
2011-10-25,54.5,65.5,57.99084507042254
2011-10-26,51.3,69.8,58.102777777777796
2011-10-27,52.0,69.4,59.46249999999998
2011-10-28,54.0,71.2,60.81748251748252
2011-10-29,53.6,73.2,61.28881118881121
2011-10-30,55.9,73.2,61.44722222222222
2011-10-31,54.7,71.1,60.43055555555554
2011-11-01,46.09114244396259,72.0,54.29355938855957
2011-11-02,46.09114244396259,72.7,54.29355938855957
2011-11-03,52.0,59.5,54.86597222222224
2011-11-04,48.4,57.9,52.1016
2011-11-05,46.09114244396259,59.4,54.29355938855957
2011-11-06,50.2,60.6,53.94066666666667
2011-11-07,49.5,60.6,53.450769230769225
2011-11-08,47.7,60.8,53.85833333333334
2011-11-09,48.7,63.7,55.51180555555557
2011-11-10,51.1,64.0,56.97261904761905
2011-11-11,52.3,57.9,54.5762237762238
2011-11-12,52.5,61.2,56.17832167832168
2011-11-13,53.8,62.4,56.6375
2011-11-14,51.6,62.1,55.861111111111136
2011-11-15,50.5,63.5,55.89603174603173
2011-11-16,50.7,63.3,55.389583333333334
2011-11-17,50.9,61.3,55.60857142857143
2011-11-18,48.9,57.7,53.64751773049646
2011-11-19,46.6,56.1,50.8756944444444
2011-11-20,48.4,56.7,51.63356643356641
2011-11-21,47.1,58.5,52.53263888888888
2011-11-22,49.5,60.3,54.25314685314685
2011-11-23,52.0,60.4,55.99583333333328
2011-11-24,50.7,59.2,55.18333333333335
2011-11-25,50.0,58.8,54.75138888888888
2011-11-26,50.2,60.4,54.84305555555554
2011-11-27,50.7,60.1,54.80625
2011-11-28,50.9,59.2,53.73496503496503
2011-11-29,50.2,58.8,52.81041666666672
2011-11-30,48.7,62.1,55.535416666666706
2011-12-01,56.7,65.1,60.50416666666667
2011-12-02,57.9,70.3,62.22500000000001
2011-12-03,53.1,64.4,57.66527777777779
2011-12-04,47.8,61.5,52.78194444444446
2011-12-05,48.0,60.3,53.18661971830989
2011-12-06,45.3,57.4,50.78819444444444
2011-12-07,45.9,57.6,50.33194444444445
2011-12-08,46.0,56.3,50.422222222222196
2011-12-09,46.2,58.6,51.885416666666686
2011-12-10,47.1,58.1,51.299305555555506
2011-12-11,48.0,54.9,50.700704225352155
2011-12-12,48.2,53.8,50.353472222222216
2011-12-13,45.3,56.7,49.55416666666668
2011-12-14,45.7,55.4,50.22083333333333
2011-12-15,48.0,53.1,50.54999999999997
2011-12-16,45.5,58.3,51.47642276422763
2011-12-17,46.4,57.9,51.72797202797201
2011-12-18,47.8,54.9,50.92638888888889
2011-12-19,49.3,57.9,52.044444444444444
2011-12-20,44.8,57.6,51.03758865248226
2011-12-21,45.3,57.6,51.01805555555554
2011-12-22,48.0,61.0,53.336805555555536
2011-12-23,43.2,57.0,49.06363636363637
2011-12-24,42.6,56.7,49.064583333333346
2011-12-25,44.8,56.3,49.0986111111111
2011-12-26,46.0,54.9,49.665972222222216
2011-12-27,46.8,56.3,50.91875000000001
2011-12-28,47.5,61.2,53.97183098591551
2011-12-29,50.2,59.2,54.49914529914533
2011-12-30,53.1,60.3,55.99354838709678
2011-12-31,47.7,58.1,53.54594594594595
2012-01-01,49.6,62.2,54.92587412587413
2012-01-02,51.3,59.7,54.76597222222221
2012-01-03,51.4,58.1,54.056643356643356
2012-01-04,49.8,63.3,55.734027777777776
2012-01-05,49.5,62.4,53.92083333333332
2012-01-06,46.6,57.9,51.706993006993
2012-01-07,46.9,65.5,55.67957746478873
2012-01-08,49.3,64.9,56.60277777777776
2012-01-09,47.3,60.6,53.77692307692308
2012-01-10,46.9,59.9,52.96944444444441
2012-01-11,45.9,61.0,52.941958041958074
2012-01-12,46.8,62.1,54.84576271186442
2012-01-13,46.4,62.6,53.65221238938055
2012-01-14,46.09114244396237,63.81500361532906,54.293559388559714
2012-01-15,44.8,52.7,49.09512195121953
2012-01-16,41.7,51.8,45.658041958042
2012-01-17,40.3,52.7,45.848251748251734
2012-01-18,42.1,54.9,47.80277777777778
2012-01-19,46.4,51.1,49.05347222222214
2012-01-20,50.5,59.2,54.8559440559441
2012-01-21,48.6,55.6,52.04444444444446
2012-01-22,47.1,54.9,50.55000000000005
2012-01-23,51.4,56.3,53.98113207547169
2012-01-24,46.09114244396237,63.81500361532906,54.293559388559714
