Dates,temp
2019-02-04,63.594754131172294
2019-02-05,64.0712884272011
2019-02-06,62.2326067852705
2019-02-07,53.3854254330895
2019-02-08,53.3854254330895
2019-02-09,53.3854254330895
2019-02-10,53.3854254330894
2019-02-11,53.3854254330895
2019-02-12,53.3854254330894
2019-02-13,52.5326067852705
2019-02-14,54.8233054384692
2019-02-15,52.633917326581
2019-02-16,53.5778764072241
2019-02-17,52.8845400372038
2019-02-18,53.6548697075334
2019-02-19,49.0855463419276
2019-02-20,45.5289569536205
2019-02-21,45.149474740181894
2019-02-22,47.3565500593996
2019-02-23,47.07477513543879
2019-02-24,45.374891874788105
2019-02-25,47.069728639949595
2019-02-26,49.211568646760206
2019-02-27,48.005172496142706
2019-02-28,48.226292274038
2019-03-01,49.0640034491099
