"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2018.7178",62.5750032994313,55.373563107443,69.7764434914197,51.5613509481751,73.5886556506876
"2018.7205",63.1940165821638,55.9820885861829,70.4059445781447,52.1643245188468,74.2237086454807
"2018.7233",62.0280924596239,54.8056918892013,69.2504930300465,50.9823839758343,73.0738009434135
"2018.7260",59.0366808593445,51.8038228778777,66.2695388408113,47.9749791454975,70.0983825731914
"2018.7288",59.6633475260111,52.4200472312218,66.9066478208005,48.5856756720795,70.7410193799428
"2018.7315",62.50545095019,55.2517233745967,69.7591785257833,51.4118319464269,73.599069953953
"2018.7342",64.2277151011333,56.9635752125195,71.4918549897471,53.1181718387882,75.3372583634784
"2018.7370",65.5013717479516,58.226834449829,72.7759090460743,54.3759270199786,76.6268164759246
"2018.7397",70.3172391788579,63.0323193109249,77.6021590467909,59.1759156806174,81.4585626770984
"2018.7425",71.4429451812202,64.1476575198163,78.7382328426241,60.2857655111733,82.6001248512672
"2018.7452",62.6174299543041,55.3117892128592,69.923070695749,51.4444166146999,73.7904432939083
"2018.7479",59.2929854475147,51.9770062769944,66.608964618035,48.1041608450716,70.4818100499579
"2018.7507",61.7391528662351,54.4128498555814,69.0654558768889,50.5345393128143,72.943766419656
"2018.7534",61.1934285445297,53.8568162210972,68.5300408679622,49.973048257803,72.4138088312564
"2018.7562",62.4032296808933,55.0563225108816,69.750136850905,51.1671047850037,73.6393545767829
"2018.7589",58.5763357414993,51.2191481303808,65.9335233526178,47.3244882677156,69.828183215283
"2018.7616",59.7229005272883,52.3554468202316,67.090354234345,48.4553524146527,70.9904486399238
"2018.7644",59.844148202206,52.4664426844958,67.2218537199161,48.5609212981762,71.1273751062357
"2018.7671",63.5689652811708,56.1810221786234,70.9569083837183,52.2700813422552,74.8678492200865
"2018.7699",60.9390434638845,53.5408769432589,68.3372099845101,49.6245241562714,72.2535627714976
"2018.7726",63.4570482307644,56.0486724001702,70.8654240613586,52.1269151309454,74.7871813305834
"2018.7753",69.2404826453201,61.8219115546207,76.6590537360194,57.8947572407072,80.5862080499329
"2018.7781",60.6276074893966,53.1988551306093,68.0563598481838,49.2663111789335,71.9889037998596
"2018.7808",58.6499612826249,51.2110415903164,66.0888809749333,47.2731153773924,70.0268071878574
"2018.7836",57.3101169951,49.8610438467786,64.7591901434213,45.9177427189155,68.7024912712844
"2018.7863",58.212699377863,50.753486594367,65.6719121613589,46.8048178678747,69.6205808878513
"2018.7890",64.636718985706,57.1673803315883,72.1060576398237,53.2133512929809,76.0600866784312
"2018.7918",67.057526421888,59.5780756057971,74.536977237979,55.6186935119946,78.4963593317815
"2018.7945",68.9138440665076,61.4242947415648,76.4033933914505,57.4595668200933,80.368121312922
"2018.7973",61.1422448324083,53.642610596582,68.6418790682347,49.672544045771,72.6119456190457
"2018.8000",53.2519406713953,45.7422350678709,60.7616462749197,41.7668370570497,64.7370442857408
"2018.8027",58.0985081109503,50.5787446284973,65.6182715934033,46.5980222981893,69.5989939237113
"2018.8055",55.6512756386256,48.121467711961,63.1810835652902,44.1354281740757,67.1671231031755
"2018.8082",57.0411026857509,49.5012636958993,64.5809416756026,45.509914033923,68.5722913375789
"2018.8110",60.4371041397677,52.8872474144175,67.9869608651178,48.8905946836026,71.9836135959327
"2018.8137",68.5434789477554,60.983617761613,76.1033401338978,56.9816689891644,80.1052889063464
"2018.8164",76.1952751354387,68.625422710578,83.7651275602995,64.618184895839,87.7723653750385
"2018.8192",72.8196032708069,65.2397727770163,80.3994337645974,61.2272528916516,84.4119536499621
"2018.8219",70.9984353875953,63.4086399427216,78.5882308324689,59.3908449308999,82.6060258442906
"2018.8247",63.7541371068006,56.1543897770894,71.3538844365118,52.1313265556633,75.3769476579379
"2018.8274",54.5259401186036,46.9162539190367,62.1356263181706,42.8879293777213,66.163950859486
"2018.8301",53.7841454562942,46.1645333509239,61.4037575616646,42.1309543524739,65.4373365601145
"2018.8329",55.1210327111962,47.4915076134766,62.7505578089159,43.4526809938618,66.7893844285306
"2018.8356",56.1959982759346,48.5565730490499,63.8354235028192,44.5125056176288,67.8794909342403
"2018.8384",58.3177696589875,50.6684571161776,65.9670822017974,46.6191556558695,70.0163836621055
"2018.8411",57.1815607010182,49.5223736059006,64.8407477961358,45.4678448733564,68.8952765286799
"2018.8438",59.8440882667518,52.1750393336414,67.5131371998623,48.1152900594129,71.5728864740908
"2018.8466",54.9643851284991,47.2854870227244,62.6432832342738,43.2205239114316,66.7082463455665
"2018.8493",52.2950688915047,44.606334229722,59.9838035532873,40.5361639602194,64.0539738227899
"2018.8521",55.0819759346395,47.3834172851438,62.7805345841352,43.3080465106847,66.8559053585943
"2018.8548",55.9868660445297,48.2784959275625,63.6952361614969,44.1979312759625,67.7758008130969
"2018.8575",58.0844150641375,50.3662459521926,65.8025841760824,46.280494025991,69.8883361022839
"2018.8603",60.9256950408121,53.1977393589382,68.653650722686,49.1068067355585,72.7445833460657
"2018.8630",58.3402055279244,50.602475654025,66.0779354018237,46.5063688859336,70.1740421699152
"2018.8658",56.4282645119626,48.6807727770937,64.1757562468315,44.5794983919572,68.277030631968
"2018.8685",56.6910997610047,48.9338584496692,64.4483410723401,44.8274229505107,68.5547765714986
"2018.8712",59.2553641433889,51.4883854938292,67.0223427929486,47.3767953591828,71.1339329275951
"2018.8740",56.1614631141266,48.3847593186138,63.9381669096395,44.2680210026779,68.0549052255753
"2018.8767",57.9953594943112,50.2089426994324,65.7817762891901,46.087062632222,69.9036563564005
"2018.8795",55.0771490633975,47.2810313703403,62.8732667564546,43.1540159578372,67.0002821689578
"2018.8822",54.6744057270693,46.8685991919042,62.4802122622344,42.7364548162064,66.6123566379322
"2018.8849",53.1393019419656,45.3238185759252,60.9547853080059,41.1865515953953,65.0920522885359
"2018.8877",54.5090909249123,46.683942694669,62.3342391551557,42.5415594440805,66.4766224057441
"2018.8904",59.3639248680591,51.5291236959994,67.1987260401188,47.3816304866827,71.3462192494354
"2018.8932",60.3241737368373,52.4797315013348,68.1686159723397,48.327134621321,72.3212128523535
"2018.8959",61.9728443053993,54.1187728410846,69.8269157697139,49.9610785552486,73.9846100555499
"2018.8986",62.2646815785101,54.4009926765386,70.1283704804816,50.2382072267412,74.2911559302791
"2018.9014",61.4968090103091,53.6235144186266,69.3701036019916,49.4556440238545,73.5379739967637
"2018.9041",62.8831387718024,55.0002501954083,70.7660273481965,50.827301051914,74.9389764916908
"2018.9068",60.5714886860391,52.6790177872475,68.4639595848307,48.5009960686872,72.641981303391
"2018.9096",53.3753825280462,45.4733409267447,61.2774241293477,41.2902527843152,65.4605122717772
"2018.9123",53.1742189857061,45.2626182596124,61.0858197117998,41.0744698221872,65.273968149225
"2018.9151",54.6060253365651,46.6848770214813,62.5271736516488,42.4916743957453,66.7203762773848
"2018.9178",55.7023923603191,47.7717079503844,63.6330767702538,43.5734572209673,67.8313274996709
"2018.9205",52.7718660445296,44.83165699247,60.7120750965891,40.6283642220787,64.9153678669805
"2018.9233",53.9420986026692,45.992376320046,61.8918208852923,41.7840475495961,66.1001496557422
"2018.9260",52.7620478627115,44.8028237201671,60.721272005256,40.589464968913,64.93463075651
"2018.9288",55.4451034546015,47.4763887821032,63.4138181270998,43.2580060477675,67.6322008614355
"2018.9315",55.5616421639326,47.5834482510149,63.5398360768503,43.3600475099161,67.7632368179491
"2018.9342",57.8370049334185,49.8493430294227,65.8246668374142,45.6209302366025,70.0530796302344
"2018.9370",56.376190368854,48.3790716831665,64.3733090545415,44.1456527725154,68.6067279651926
"2018.9397",53.6589831616467,45.6524188639345,61.6655474593589,41.4139997483172,65.9039665749763
"2018.9425",54.9791319621326,46.9631331825777,62.9951307416876,42.7197197539565,67.2385441703088
"2018.9452",54.5022246102666,46.4768024397977,62.5276467807356,42.2284005693557,66.7760486511776
"2018.9479",55.4226352752988,47.3878007658219,63.4574697847758,43.1344163040847,67.710854246513
"2018.9507",52.890948613337,44.8467127779634,60.9351844487106,40.5883515549199,65.193545671754
"2018.9534",53.5130425151179,45.4594163283908,61.5666687018449,41.1960841536134,65.8300008766223
"2018.9562",54.5607305133941,46.4977249115131,62.623736115275,42.2294275742761,66.892033452512
"2018.9589",53.6321504047192,45.5597762857631,61.7045245236752,41.286519555161,65.9777812542774
"2018.9616",57.8132049566635,49.7314731808113,65.8949367325156,45.4532628058754,70.1731471074516
"2018.9644",56.4373205899842,48.3462419797341,64.5283992002342,44.063083689549,68.8115574904194
"2018.9671",52.8848347945297,44.7844201349167,60.9852494541427,40.4963196387349,65.2733499503244
"2018.9699",51.2585327111963,43.1487927500076,59.368272672385,38.8557557373642,63.6613096850284
"2018.9726",50.016669194136,41.8976146421252,58.1357237461468,37.5996467829505,62.4336916053215
"2018.9753",50.109377565267,41.981019096366,58.237736034168,37.6781260410982,62.5406290894357
"2018.9781",47.2778309568103,39.14017920834,55.4154827052806,34.8323665880368,59.7232953255838
"2018.9808",48.8602870971612,40.7133526700402,57.0072215242822,36.4006260964889,61.3199480978336
"2018.9836",52.2585327111963,44.1023261701481,60.4147392522445,39.7846912359755,64.7323741864171
